origin,factor_id,factor_label,unit,iso2,country,value,year,source,url,note,status
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,AE,United Arab Emirates,1.5,2030,UAE Digital Government Strategy 2025-2030,https://u.ae/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,DE,Germany,1.0,2030,BMDV Gigabitstrategie 2030,https://bmdv.bund.de/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,ES,Spain,1.0,2030,Plan España Digital 2026 (extended),https://espanadigital.gob.es/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,FR,France,2.0,2030,Plan France Très Haut Débit 'Tous fibrés en 2030',https://www.economie.gouv.fr/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,GB,United Kingdom,1.0,2030,Analysys Mason — UK FTTP rollout trajectory,https://www.analysysmason.com/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,IE,Ireland,1.0,2030,Ireland's National Broadband Plan + EU Gigabit,https://www.gov.ie/en/publication/c1b0c-national-broadband-plan/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,IT,Italy,1.0,2030,Italia Domani Banda Ultra Larga,https://italiadomani.gov.it/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,NL,Netherlands,1.0,2030,EU Gigabit Society targets (Dutch trajectory),https://digital-strategy.ec.europa.eu/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,SA,Saudi Arabia,1.0,2030,CST Saudi Arabia Communications Strategy 2030,https://www.cst.gov.sa/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_2030_gbps,2030 broadband policy target,Gbps,SE,Sweden,1.0,2030,PTS Bredbandsstrategi 2030,https://pts.se/en/,"Policy target, not analyst-forecast median speed",pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,AE,United Arab Emirates,0.31,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,AT,Austria,0.09,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,BE,Belgium,0.12,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,CH,Switzerland,0.25,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
