GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Aberthaw and Cardiff East,950002,950006,0,CARE2_H23,CARE1_SGT2,,S2,Winter,-162.3,-0.7,,
Aberthaw and Cardiff East,950002,950006,0,CARE2_H23,CARE1_SGT2,,S2,Intermediate Cool,-136.4,-0.7,,
Aberthaw and Cardiff East,950002,950006,0,CARE2_H23,CARE1_SGT2,,S2,Intermediate Warm,-136.4,-0.7,,
Aberthaw and Cardiff East,950002,950006,0,CARE2_H23,CARE1_SGT2,,S2,Summer,-127.2,-0.7,,
Aberthaw and Cardiff East,950004,950007,0,CARE2_H33,CARE1_SGT3,,S3,Winter,-162.3,-0.7,,
Aberthaw and Cardiff East,950004,950007,0,CARE2_H33,CARE1_SGT3,,S3,Intermediate Cool,-136.4,-0.7,,
Aberthaw and Cardiff East,950004,950007,0,CARE2_H33,CARE1_SGT3,,S3,Intermediate Warm,-136.4,-0.7,,
Aberthaw and Cardiff East,950004,950007,0,CARE2_H33,CARE1_SGT3,,S3,Summer,-127.2,-0.7,,
Aberthaw and Cardiff East,950131,960111,95040,ABTH2_SGT1,ABTH1_#180,ABTH8A,S1,Winter,-157.3,-0.4,,
Aberthaw and Cardiff East,950131,960111,95040,ABTH2_SGT1,ABTH1_#180,ABTH8A,S1,Intermediate Cool,-159.5,-0.4,,
Aberthaw and Cardiff East,950131,960111,95040,ABTH2_SGT1,ABTH1_#180,ABTH8A,S1,Intermediate Warm,-159.5,-0.4,,
Aberthaw and Cardiff East,950131,960111,95040,ABTH2_SGT1,ABTH1_#180,ABTH8A,S1,Summer,-163.5,-0.4,,
Aberthaw and Cardiff East,960117,950132,0,ABTH1_#280,ABTH2_SGT2,,S2,Winter,-157.3,-0.4,,
Aberthaw and Cardiff East,960117,950132,0,ABTH1_#280,ABTH2_SGT2,,S2,Intermediate Cool,-159.5,-0.4,,
Aberthaw and Cardiff East,960117,950132,0,ABTH1_#280,ABTH2_SGT2,,S2,Intermediate Warm,-159.5,-0.4,,
Aberthaw and Cardiff East,960117,950132,0,ABTH1_#280,ABTH2_SGT2,,S2,Summer,-163.5,-0.4,,
Abham,800502,801218,97041,ABHA4_213,ABHA1_#280,ABHA8B,S2,Winter,-382.7,180.4,,180.0
Abham,800502,801218,97041,ABHA4_213,ABHA1_#280,ABHA8B,S2,Intermediate Cool,-368.5,180.4,,180.0
Abham,800502,801218,97041,ABHA4_213,ABHA1_#280,ABHA8B,S2,Intermediate Warm,-368.5,180.4,,180.0
Abham,800502,801218,97041,ABHA4_213,ABHA1_#280,ABHA8B,S2,Summer,-325.4,180.4,,180.0
Abham,800601,973300,97040,ABHA4_113,ABHA1_SGT1,ABHA8A,S1,Winter,-382.7,180.4,,180.0
Abham,800601,973300,97040,ABHA4_113,ABHA1_SGT1,ABHA8A,S1,Intermediate Cool,-368.5,180.4,,180.0
Abham,800601,973300,97040,ABHA4_113,ABHA1_SGT1,ABHA8A,S1,Intermediate Warm,-368.5,180.4,,180.0
Abham,800601,973300,97040,ABHA4_113,ABHA1_SGT1,ABHA8A,S1,Summer,-325.4,180.4,,180.0
Exeter,830110,831120,97282,EXET4_710,EXET1_#780,EXET8C,S7,Winter,-259.0,267.3,,240.0
Exeter,830110,831120,97282,EXET4_710,EXET1_#780,EXET8C,S7,Intermediate Cool,-226.0,267.3,,240.0
Exeter,830110,831120,97282,EXET4_710,EXET1_#780,EXET8C,S7,Intermediate Warm,-226.0,267.3,,240.0
Exeter,830110,831120,97282,EXET4_710,EXET1_#780,EXET8C,S7,Summer,-181.7,267.3,,240.0
Exeter,830122,831114,97280,EXET4_110,EXET1_#180,EXET8A,S1,Winter,-259.0,267.3,,180.0
Exeter,830122,831114,97280,EXET4_110,EXET1_#180,EXET8A,S1,Intermediate Cool,-226.0,267.3,,180.0
Exeter,830122,831114,97280,EXET4_110,EXET1_#180,EXET8A,S1,Intermediate Warm,-226.0,267.3,,180.0
Exeter,830122,831114,97280,EXET4_110,EXET1_#180,EXET8A,S1,Summer,-181.7,267.3,,180.0
Landulph,850104,851118,97601,LAND4_213,LAND1_#280,LAND8B,S2,Winter,-277.0,187.3,,
Landulph,850104,851118,97601,LAND4_213,LAND1_#280,LAND8B,S2,Intermediate Cool,-263.3,187.3,,
Landulph,850104,851118,97601,LAND4_213,LAND1_#280,LAND8B,S2,Intermediate Warm,-263.3,187.3,,
Landulph,850104,851118,97601,LAND4_213,LAND1_#280,LAND8B,S2,Summer,-234.6,187.3,,
Landulph,850304,851122,97602,LAND4_313,LAND1_#380,LAND8C,S3,Winter,-277.0,187.3,,
Landulph,850304,851122,97602,LAND4_313,LAND1_#380,LAND8C,S3,Intermediate Cool,-263.3,187.3,,
Landulph,850304,851122,97602,LAND4_313,LAND1_#380,LAND8C,S3,Intermediate Warm,-263.3,187.3,,
Landulph,850304,851122,97602,LAND4_313,LAND1_#380,LAND8C,S3,Summer,-234.6,187.3,,
Indian Queens,231200,973700,97443,INDQ4_313,INDQ1_SGT3,INDQ8C,S3,Winter,-414.4,395.6,,720.0
Indian Queens,231200,973700,97443,INDQ4_313,INDQ1_SGT3,INDQ8C,S3,Intermediate Cool,-373.8,395.6,,720.0
Indian Queens,231200,973700,97443,INDQ4_313,INDQ1_SGT3,INDQ8C,S3,Intermediate Warm,-373.8,395.6,,720.0
Indian Queens,231200,973700,97443,INDQ4_313,INDQ1_SGT3,INDQ8C,S3,Summer,-269.1,395.6,,720.0
Alverdiscott,810801,811106,97100,ALVE4_#110,ALVE1_#180,ALVE8A,S1,Winter,-257.0,329.2,240.0,240.0
Alverdiscott,810801,811106,97100,ALVE4_#110,ALVE1_#180,ALVE8A,S1,Intermediate Cool,-203.6,329.2,240.0,240.0
Alverdiscott,810801,811106,97100,ALVE4_#110,ALVE1_#180,ALVE8A,S1,Intermediate Warm,-203.6,329.2,240.0,240.0
Alverdiscott,810801,811106,97100,ALVE4_#110,ALVE1_#180,ALVE8A,S1,Summer,-175.0,329.2,240.0,240.0
Alverdiscott,810901,811107,97101,ALVE4_#210,ALVE1_#280,ALVE8B,S2,Winter,-257.0,329.2,240.0,240.0
Alverdiscott,810901,811107,97101,ALVE4_#210,ALVE1_#280,ALVE8B,S2,Intermediate Cool,-203.6,329.2,240.0,240.0
Alverdiscott,810901,811107,97101,ALVE4_#210,ALVE1_#280,ALVE8B,S2,Intermediate Warm,-203.6,329.2,240.0,240.0
Alverdiscott,810901,811107,97101,ALVE4_#210,ALVE1_#280,ALVE8B,S2,Summer,-175.0,329.2,240.0,240.0
Indian Queens,840109,841116,97441,INDQ4_113,INDQ1_#180,INDQ8A,S1,Winter,-414.4,395.6,,720.0
Indian Queens,840109,841116,97441,INDQ4_113,INDQ1_#180,INDQ8A,S1,Intermediate Cool,-373.8,395.6,,720.0
