psp_name;grid_easting;grid_northing;typetable;pvoltage;firm_cap;mindemand;maxdemand;rpf;gentot;demtot;genhr;demhr;fl_break_d;fl_break_r;fl_make_d;fl_make_r;fl;worst_tap;gen_voltage_constraint;upgenconst;dem_voltage_constraint;gsp_hm_constraint_manual;odp_primary_name;updemconst;upstreamname;gsp_name;genconstraint;demconstraint;worst_case_constraint_gen_colour;worst_case_constraint_dem_colour;substation_location;fault_level_
Armouries Drive;431064.0;432808.0;Primary;11.0;30.0;2.85786700248718;10.9399995803833;1.0;0.432;6.751;29.5015007629395;12.3090004196167;8.83894;19.99731;23.47633;49.99329;0.72975492477417;6.0;No Voltage Constraint;GSP Constraint;No Voltage Constraint;R;Armouries Drive;No;Low Road;Skelton Grange;Green;Green;Green;Green;53.79066604669437, -1.5299547015469377;72.975492477417
Bailiff Bridge;414739.0;425009.0;Primary;11.0;24.0;2.01999998092651;8.53999996185303;0.0;0.0;0.0;0.0;15.460000038147;9.445671;13.1216;24.85693;32.80399;0.757741034030914;10.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Bailiff Bridge;No;Brighouse 132/33kV;Elland;Green;Green;Green;Green;53.721283717354915, -1.7781209881894275;75.7741034030914
Barden Friar;413453.0;493595.0;Primary;20.0;5.0;1.05999994277954;1.25;1.0;0.0;0.0;0.0;0.0;3.58;25.0;7.4;62.5;0.822285711765289;5.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Barden Friar;GSP Constraint;Leeming Bar/Skeeby;Norton;Green;Green;Green;Green;54.33773824870694, -1.7945973889299134;82.2285711765289
Barnburgh;447257.0;403886.0;Primary;11.0;24.0;-5.15000009536743;7.78999996185303;1.0;0.0;0.0;0.0;0.0;11.58671;25.0;29.56935;62.5;1.00065362453461;5.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Barnburgh;GSP Constraint;Doncaster B/Thorpe Marsh;West Melton / Thorpe Marsh;Red - Fault Level;Red - Fault Level;Red;Red;53.52951582837444, -1.2885647309417902;100.065362453461
Barnsley Road;436413.0;390618.0;Primary;11.0;30.0;3.42000007629395;7.78000020980835;1.0;0.0;0.0;0.0;22.2199997901917;8.837607;19.99731;23.264;49.99329;1.03409600257874;7.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Barnsley Road;No;Pitsmoor 3/4;Pitsmoor 3/4;Red - Fault Level;Red - Fault Level;Red;Red;53.411123505111995, -1.4536775911945594;103.409600257874
Barrack Road;424127.0;564537.0;Supply Point;33.0;114.0;22.9599990844727;70.3000030517578;1.0;6.3;6.995;0.0;36.5313;13.27;17.5;39.04;44.6;0.875336349010468;0.0;Data Not Available;NO;Data Not Available;R;Barrack Road;Upstream Constraint;Stella North;Stella North;Green;Green;Green;Green;54.97486621507527, -1.624607814683639;87.5336349010468
Barugh 132/66kV;431899.0;408615.0;Supply Point;66.0;98.0;16.3999996185303;58.5400009155273;0.0;0.23;9.5;16.1699996185303;29.9599990844727;6.305518;13.1216;17.65772;32.80399;1.0;0.0;Data Not Available;NO;Data Not Available;R;Barugh 132/66kV;NO;West Melton Section 3;West Melton Section 3;Red - Fault Level;Red - Fault Level;Red;Red;53.5731735670361, -1.5197592682288787;100.0
Barwick;437325.0;435841.0;Primary;11.0;23.0;2.73000001907349;11.0100002288818;0.5;0.29;0.764;0.0;11.2259997711182;7.992968;13.1216;21.92325;32.80399;0.910400032997131;7.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Barwick;No;Whinmoor;Ferrybridge B;Amber - Fault Level;Amber - Fault Level;Amber;Amber;53.81751522480669, -1.4345560125544454;91.0400032997131
Beighton;444899.0;384683.0;Primary;11.0;25.0;-2.50999999046326;17.6599998474121;1.0;22.4;1.8;0.0;5.54000015258789;9.142197;19.99731;26.30232;49.99329;0.852021276950836;7.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Beighton;No;Thurcroft;Thurcroft;Green;Green;Green;Green;53.357128054213035, -1.3268667448652565;85.20212769508359
Belmont;429869.0;543260.0;Primary;11.0;32.0;7.21000003814697;21.7652950286865;0.0;0.0;0.0;0.0;10.2347049713135;10.929;13.1;32.1271;32.8;0.979484856128693;3.0;Some Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Belmont;No;Potter House;Spennymoor GSP;"Red - Fault Level; Amber - Voltage";Red - Fault Level;Red;Red;54.78336052416487, -1.5371016901147982;97.94848561286929
Belmont Avenue;457173.0;401961.0;Primary;11.0;23.0;5.65999984741211;19.1599998474121;0.0;0.0;0.0;0.0;0.0;8.438308;13.1216;24.19354;32.80399;1.00065362453461;5.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Belmont Avenue;GSP Constraint;Mallard Way;West Melton / Thorpe Marsh;Red - Fault Level;Red - Fault Level;Red;Red;53.51123200762924, -1.139342374221945;100.065362453461
Belthorpe Lane;479337.0;454613.0;Primary;11.0;8.0;0.620000004768372;3.67000007629395;1.0;0.0;0.0;0.0;4.32999992370605;4.982438;24.98352;12.15246;62.4588;0.993019342422485;10.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Belthorpe Lane;No;Driffield/Beverley Group;Creyke Beck;Red - Fault Level;Red - Fault Level;Red;Red;53.981493925961715, -0.7916972661456813;99.3019342422485
Beverley 132/33kV;504395.0;437245.0;Supply Point;33.0;104.3;0.129999995231628;78.0100021362305;1.0;160.259;2.8818;0.0;23.4081978637695;15.29;17.49546;42.31;43.73866;0.967336595058441;0.0;Data Not Available;NO;Data Not Available;R;Beverley 132/33kV;NO;Creyke Beck;Creyke Beck;Red - Fault Level;Red - Fault Level;Red;Red;53.82100640169143, -0.41565108221513525;96.7336595058441
Billet Lane;488380.0;414141.0;Primary;11.0;24.0;1.61000001430511;10.9899997711182;1.0;0.2;4.76;0.0;0.0;11.48441;24.98352;30.12697;62.4588;1.0;10.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Billet Lane;GSP Constraint;Scunthorpe North;Keadby;Red - Fault Level;Red - Fault Level;Red;Red;53.6163680188226, -0.6654381381087832;100.0
