Grid Supply Point,Substation,Utilisation (MVA) 2013,Firm Capacity (MVA) 2013,Available Capacity (MVA) 2013,Utilisation (MVA) 2014,Firm Capacity (MVA) 2014,Available Capacity (MVA) 2014,Utilisation (MVA) 2015,Firm Capacity (MVA) 2015,Available Capacity (MVA) 2015,Utilisation (MVA) 2016,Firm Capacity (MVA) 2016,Available Capacity (MVA) 2016,Utilisation (MVA) 2017,Firm Capacity (MVA) 2017,Available Capacity (MVA) 2017,Utilisation (MVA) 2018,Firm Capacity (MVA) 2018,Available Capacity (MVA) 2018,Utilisation (MVA) 2019,Firm Capacity (MVA) 2019,Available Capacity (MVA) 2019,Utilisation (MVA) 2020,Firm Capacity (MVA) 2020,Available Capacity (MVA) 2020,Utilisation (MVA) 2021,Firm Capacity (MVA) 2021,Available Capacity (MVA) 2021,Utilisation (MVA) 2022,Firm Capacity (MVA) 2022,Available Capacity (MVA) 2022,Utilisation (MVA) 2023,Firm Capacity (MVA) 2023,Available Capacity (MVA) 2023,Utilisation (MVA) 2024,Firm Capacity (MVA) 2024,Available Capacity (MVA) 2024
Ayr,Heathfield,25.2,21.0,-4.2,26.89,21.0,-5.89,15.85,21.0,5.15,10.5,21.0,10.5,10.19,21.0,10.81,10.64,21.0,10.36,10.8,21.0,10.2,9.85,21.0,11.15,10.28,21.0,10.72,8.76,21.0,12.24,9.47,21.0,11.53,8.49,21.0,12.51
Bainsford,Carron Iron,13.16,24.0,10.84,12.95,24.0,11.05,13.94,24.0,10.06,11.62,24.0,12.38,12.38,24.0,11.62,11.32,24.0,12.68,10.04,24.0,13.96,8.83,24.0,15.17,8.58,24.0,15.42,10.12,24.0,13.88,9.08,24.0,14.92,8.16,24.0,15.84
Bainsford,Earls Road,10.8,23.0,12.2,11.98,23.0,11.02,13.03,23.0,9.97,11.46,23.0,11.54,11.5,23.0,11.5,11.44,23.0,11.56,10.62,23.0,12.38,10.01,23.0,12.99,10.51,23.0,12.49,10.18,23.0,12.82,10.54,23.0,12.46,9.97,23.0,13.03
Berwick,Eyemouth,4.1,10.0,5.9,4.54,10.0,5.46,3.96,10.0,6.04,4.3,10.0,5.7,3.83,10.0,6.17,3.83,10.0,6.17,3.77,10.0,6.23,3.95,10.0,6.05,3.68,10.0,6.32,3.82,10.0,6.18,4.19,10.0,5.81,4.04,10.0,5.96
Berwick,Loaning,15.19,10.0,-5.19,13.29,10.0,-3.29,8.97,10.0,1.03,12.39,10.0,-2.39,12.31,10.0,-2.31,12.65,10.0,-2.65,12.96,24.0,11.04,12.65,24.0,11.35,11.5,24.0,12.5,12.43,24.0,11.57,11.95,24.0,12.05,12.17,24.0,11.83
Berwick,Norham,1.44,2.5,1.06,1.47,2.5,1.03,1.41,2.5,1.09,1.38,2.5,1.12,1.36,2.5,1.14,1.37,2.5,1.13,1.27,2.5,1.23,1.38,2.5,1.12,1.41,2.5,1.09,1.52,2.5,0.98,1.37,2.5,1.13,1.33,2.5,1.17
Berwick,North Road,8.9,10.0,1.1,8.31,10.0,1.69,8.35,10.0,1.65,7.78,10.0,2.22,7.61,10.0,2.39,6.87,10.0,3.13,7.0,10.0,3.0,7.0,10.0,3.0,6.32,10.0,3.68,6.63,10.0,3.37,7.19,10.0,2.81,6.66,10.0,3.34
Bonnybridge,Camelon,9.31,24.0,14.69,8.36,24.0,15.64,8.73,24.0,15.27,8.05,24.0,15.95,8.12,24.0,15.88,8.35,24.0,15.65,7.56,24.0,16.44,7.31,24.0,16.69,7.96,24.0,16.04,7.07,24.0,16.93,7.01,18.86,11.85,7.54,18.86,11.32
Bonnybridge,Larbert,17.84,24.0,6.16,16.05,24.0,7.95,15.63,24.0,8.37,15.71,24.0,8.29,16.25,24.0,7.75,17.2,24.0,6.8,15.96,21.0,5.04,15.21,21.0,5.79,16.76,21.0,4.24,14.74,21.0,6.26,16.08,16.29,0.21,14.75,16.29,1.54
Braehead Park,Kings Inch Road,2.84,40.0,37.16,1.07,40.0,38.93,3.04,40.0,36.96,3.2,40.0,36.8,12.97,40.0,27.03,12.35,40.0,27.65,10.67,40.0,29.33,9.65,40.0,30.35,8.91,40.0,31.09,8.81,40.0,31.19,11.54,40.0,28.46,11.05,40.0,28.95
Broxburn,Cameron,17.77,23.0,5.23,17.59,23.0,5.41,16.16,23.0,6.84,15.75,23.0,7.25,16.81,23.0,6.19,16.11,23.0,6.89,17.15,23.0,5.85,14.46,23.0,8.54,14.49,23.0,8.51,14.44,23.0,8.56,15.14,23.0,7.86,14.35,23.0,8.65
Chapelcross,Langholm,5.82,24.0,18.18,6.68,24.0,17.32,6.49,24.0,17.51,5.62,24.0,18.38,9.58,24.0,14.42,6.35,24.0,17.65,4.63,24.0,19.37,6.95,24.0,17.05,3.02,24.0,20.98,3.4,24.0,20.6,3.75,24.0,20.25,3.82,24.0,20.18
Chapelcross,Lockerbie,9.69,24.0,14.31,11.03,24.0,12.97,16.35,24.0,7.65,15.79,24.0,8.21,15.72,16.0,0.28,14.65,16.0,1.35,15.37,24.0,8.63,15.31,24.0,8.69,15.76,24.0,8.24,12.48,24.0,11.52,10.01,20.86,10.85,10.75,20.86,10.11
Chapelcross,Moffat,4.81,5.0,0.19,4.02,5.0,0.98,4.13,5.0,0.87,3.77,5.0,1.23,4.23,5.0,0.77,4.28,5.0,0.72,3.89,7.5,3.61,3.98,7.5,3.52,4.24,7.5,3.26,3.89,7.5,3.61,4.08,7.5,3.42,3.86,7.5,3.64
Chapelcross,Newcastleton,1.01,5.0,3.99,0.96,5.0,4.04,0.92,5.0,4.08,0.95,5.0,4.05,0.92,5.0,4.08,1.09,5.0,3.91,0.96,5.0,4.04,1.09,5.0,3.91,1.27,5.0,3.73,1.03,5.0,3.97,0.99,5.0,4.01,0.94,5.0,4.06
Charlotte Street,David Street,,,,,,,,,,,,,,,,,,,,,,11.2,21.0,9.8,9.48,21.0,11.52,9.76,21.0,11.24,10.92,21.0,10.08,11.03,21.0,9.97
Charlotte Street,Rottenrow,16.68,24.0,7.32,18.96,24.0,5.04,19.0,24.0,5.0,20.06,24.0,3.94,19.16,24.0,4.84,19.53,24.0,4.47,18.82,24.0,5.18,16.14,24.0,7.86,16.14,24.0,7.86,11.7,24.0,12.3,15.59,24.0,8.41,15.78,24.0,8.22
Coatbridge,Dundyvan,13.23,21.0,7.77,13.55,21.0,7.45,13.0,21.0,8.0,13.59,21.0,7.41,14.87,21.0,6.13,12.45,21.0,8.55,11.72,21.0,9.28,12.16,21.0,8.84,12.25,21.0,8.75,11.92,21.0,9.08,12.84,21.0,8.16,12.57,21.0,8.43
Coatbridge,Woodside,9.85,24.0,14.15,8.11,24.0,15.89,6.88,24.0,17.12,6.73,24.0,17.27,6.95,21.0,14.05,6.35,21.0,14.65,5.88,24.0,18.12,5.9,24.0,18.1,5.94,24.0,18.06,5.73,24.0,18.27,5.97,21.0,15.03,5.9,21.0,15.1
Cockenzie,Pencaitland,6.58,7.5,0.92,5.58,7.5,1.92,5.67,7.5,1.83,5.56,7.5,1.94,5.39,7.5,2.11,5.53,7.5,1.97,5.43,24.0,18.57,5.38,24.0,18.62,5.97,24.0,18.03,5.74,24.0,18.26,5.63,17.0,11.37,5.27,17.0,11.73
Cockenzie,Tranent,14.54,15.0,0.46,21.06,15.0,-6.06,17.19,24.0,6.81,16.82,24.0,7.18,21.55,24.0,2.45,20.37,24.0,3.63,18.6,24.0,5.4,17.38,24.0,6.62,17.18,24.0,6.82,17.03,24.0,6.97,16.31,21.82,5.51,18.62,21.82,3.2
Coylton,Cronberry,2.95,5.0,2.05,5.84,5.0,-0.84,2.66,5.0,2.34,2.32,5.0,2.68,1.48,5.0,3.52,1.51,5.0,3.49,1.58,7.5,5.92,1.47,7.5,6.03,1.57,7.5,5.93,1.93,7.5,5.57,1.92,10.0,8.08,2.33,10.0,7.67
Coylton,Killoch Colliery,10.35,21.0,10.65,7.98,21.0,13.02,12.64,21.0,8.36,12.61,21.0,8.39,11.92,21.0,9.08,12.83,21.0,8.17,12.92,24.0,11.08,11.84,24.0,12.16,12.86,24.0,11.14,13.09,24.0,10.91,12.33,21.0,8.67,11.99,21.0,9.01
Coylton,Mauchline,5.34,10.0,4.66,5.05,10.0,4.95,5.35,10.0,4.65,5.76,10.0,4.24,5.91,10.0,4.09,6.16,10.0,3.84,5.62,10.0,4.38,5.29,10.0,4.71,5.83,10.0,4.17,5.69,10.0,4.31,5.64,10.0,4.36,5.52,10.0,4.48
Crookston A,Kennishead Avenue,10.69,24.0,13.31,13.54,24.0,10.46,10.53,24.0,13.47,10.63,24.0,13.37,11.9,24.0,12.1,11.26,24.0,12.74,9.63,24.0,14.37,10.85,24.0,13.15,9.35,24.0,14.65,8.8,24.0,15.2,9.2,24.0,14.8,9.14,24.0,14.86
Cumbernauld,Condorrat,25.26,24.0,-1.26,17.88,24.0,6.12,19.03,24.0,4.97,16.48,24.0,7.52,17.62,24.0,6.38,17.22,24.0,6.78,17.46,24.0,6.54,16.98,24.0,7.02,13.65,24.0,10.35,15.38,24.0,8.62,13.79,24.0,10.21,14.29,24.0,9.71
Cumbernauld,Greenfaulds,11.62,24.0,12.38,12.56,24.0,11.44,11.51,24.0,12.49,15.07,24.0,8.93,15.33,24.0,8.67,14.83,24.0,9.17,14.45,24.0,9.55,13.72,24.0,10.28,12.95,24.0,11.05,12.8,24.0,11.2,10.69,24.0,13.31,10.96,24.0,13.04
Cupar,Leuchars,4.91,10.0,5.09,4.35,10.0,5.65,3.9,10.0,6.1,4.09,10.0,5.91,3.99,10.0,6.01,3.91,10.0,6.09,4.2,18.0,13.8,4.5,18.0,13.5,4.85,18.0,13.15,4.51,18.0,13.49,4.63,10.0,5.37,4.67,10.0,5.33
Cupar,St Andrews,19.09,21.0,1.91,18.64,21.0,2.36,18.2,24.0,5.8,21.34,24.0,2.66,19.63,24.0,4.37,19.92,24.0,4.08,19.01,21.0,1.99,18.53,21.0,2.47,17.58,21.0,3.42,18.17,21.0,2.83,18.32,21.61,3.29,18.61,21.61,3.0
Devol Moor,Baker Street,16.65,24.0,7.35,14.85,24.0,9.15,13.83,24.0,10.17,14.35,24.0,9.65,13.77,24.0,10.23,12.93,24.0,11.07,12.7,24.0,11.3,12.1,24.0,11.9,10.3,24.0,13.7,10.97,24.0,13.03,10.89,24.0,13.11,11.07,24.0,12.93
Devonside,Gartarry,9.11,10.0,0.89,8.15,10.0,1.85,7.14,10.0,2.86,8.31,10.0,1.69,9.4,10.0,0.6,6.17,10.0,3.83,6.07,10.0,3.93,5.75,10.0,4.25,6.12,10.0,3.88,5.78,10.0,4.22,6.3,10.0,3.7,7.06,10.0,2.94
Devonside,Menstrie,17.61,24.0,6.39,17.24,24.0,6.76,18.92,24.0,5.08,13.98,24.0,10.02,16.82,24.0,7.18,17.27,24.0,6.73,15.13,24.0,8.87,5.55,24.0,18.45,15.19,24.0,8.81,15.49,24.0,8.51,16.59,24.0,7.41,15.81,24.0,8.19
Dewar Place,Dewar Place,20.21,24.0,3.79,26.81,24.0,-2.81,16.56,24.0,7.44,17.4,24.0,6.6,12.73,24.0,11.27,14.64,24.0,9.36,13.73,24.0,10.27,13.15,24.0,10.85,10.13,24.0,13.87,15.64,24.0,8.36,15.42,24.0,8.58,15.5,24.0,8.5
Dewar Place,Pilton Drive West,6.82,21.0,14.18,6.73,21.0,14.27,,,,9.88,24.0,14.12,9.62,21.0,11.38,9.15,21.0,11.85,9.01,24.0,14.99,8.26,24.0,15.74,8.1,24.0,15.9,8.13,24.0,15.87,7.16,24.0,16.84,7.56,24.0,16.44
Dewar Place,Thistle Court,20.47,24.0,3.53,23.85,24.0,0.15,22.29,24.0,1.71,20.78,24.0,3.22,20.04,24.0,3.96,20.23,24.0,3.77,20.23,24.0,3.77,20.23,24.0,3.77,13.87,24.0,10.13,16.98,24.0,7.02,17.72,21.74,4.02,16.56,21.74,5.18
Dewar Place,William Street,9.23,24.0,14.77,11.98,24.0,12.02,8.31,24.0,15.69,8.33,24.0,15.67,7.76,24.0,16.24,7.93,24.0,16.07,7.93,24.0,16.07,7.93,24.0,16.07,6.46,24.0,17.54,6.32,24.0,17.68,7.57,24.0,16.43,7.14,24.0,16.86
Drumchapel,Westerton,15.62,21.0,5.38,15.2,21.0,5.8,14.11,21.0,6.89,12.64,21.0,8.36,12.17,21.0,8.83,12.67,21.0,8.33,11.8,21.0,9.2,11.83,21.0,9.17,12.81,21.0,8.19,12.1,21.0,8.9,14.12,21.0,6.88,11.48,21.0,9.52
Dumfries,Carrutherstown,2.79,5.0,2.21,2.59,5.0,2.41,1.79,5.0,3.21,1.12,5.0,3.88,2.5,5.0,2.5,2.2,5.0,2.8,2.11,7.5,5.39,2.2,7.5,5.3,2.18,7.5,5.32,2.32,7.5,5.18,2.48,10.0,7.52,2.94,10.0,7.06
Dumfries,Dumfries 11Kv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68,20.0,6.32,12.36,20.0,7.64
Dunbar B,Torness,2.4,14.0,11.6,2.4,14.0,11.6,2.45,14.0,11.55,2.68,14.0,11.32,2.56,14.0,11.44,3.98,14.0,10.02,3.4,10.0,6.6,4.44,10.0,5.56,8.96,10.0,1.04,3.04,10.0,6.96,3.53,10.0,6.47,2.76,10.0,7.24
Dunfermline,Townhill,11.93,21.0,9.07,11.51,21.0,9.49,12.22,21.0,8.78,12.77,21.0,8.23,13.48,21.0,7.52,13.45,21.0,7.55,12.49,21.0,8.51,12.79,21.0,8.21,13.02,21.0,7.98,13.15,21.0,7.85,11.14,21.0,9.86,11.27,21.0,9.73
East Kilbride South,Kelvin,,,,9.99,24.0,14.01,9.85,24.0,14.15,9.5,24.0,14.5,9.64,24.0,14.36,9.24,24.0,14.76,9.36,24.0,14.64,9.1,24.0,14.9,9.61,24.0,14.39,9.21,24.0,14.79,9.47,24.0,14.53,9.26,24.0,14.74
Easterhouse,Bishop,6.7,21.0,14.3,8.2,21.0,12.8,8.71,21.0,12.29,9.35,21.0,11.65,8.84,21.0,12.16,8.74,21.0,12.26,9.42,21.0,11.58,9.96,21.0,11.04,8.46,21.0,12.54,7.82,21.0,13.18,9.6,21.0,11.4,9.28,21.0,11.72
Eccles,Gordon,1.44,5.0,3.56,1.82,5.0,3.18,1.44,5.0,3.56,1.5,5.0,3.5,1.16,5.0,3.84,1.4,5.0,3.6,1.5,5.0,3.5,1.68,5.0,3.32,1.68,5.0,3.32,1.67,5.0,3.33,1.84,5.0,3.16,1.79,5.0,3.21
Eccles,Whitchester,0.92,5.0,4.08,0.93,5.0,4.07,1.0,5.0,4.0,0.89,5.0,4.11,0.93,5.0,4.07,0.89,5.0,4.11,0.89,5.0,4.11,0.84,5.0,4.16,0.96,5.0,4.04,0.95,5.0,4.05,0.98,5.0,4.02,0.97,5.0,4.03
Erskine,Erskine,24.33,24.0,-0.33,23.87,24.0,0.13,22.97,30.0,7.03,22.6,30.0,7.4,22.44,30.0,7.56,21.2,30.0,8.8,20.1,48.0,27.9,15.14,24.0,8.86,20.05,24.0,3.95,17.7,24.0,6.3,19.47,41.72,22.25,18.49,41.72,23.23
Finnieston,Newton Street,,,,14.64,40.0,25.36,14.61,40.0,25.39,13.98,40.0,26.02,14.0,40.0,26.0,12.61,40.0,27.39,13.36,40.0,26.64,11.61,40.0,28.39,8.72,40.0,31.28,9.79,40.0,30.21,10.79,40.0,29.21,12.52,40.0,27.48
Galashiels,Lauder,2.91,5.0,2.09,2.39,5.0,2.61,2.15,5.0,2.85,2.19,5.0,2.81,2.68,5.0,2.32,2.98,5.0,2.02,2.81,7.5,4.69,2.72,7.5,4.78,2.97,7.5,4.53,2.8,7.5,4.7,2.63,7.5,4.87,2.63,7.5,4.87
Galashiels,Netherdale,15.08,15.0,-0.08,19.65,15.0,-4.65,14.91,24.0,9.09,14.8,24.0,9.2,15.83,24.0,8.17,15.78,24.0,8.22,15.36,24.0,8.64,14.36,24.0,9.64,13.63,24.0,10.37,14.64,24.0,9.36,14.05,24.0,9.95,14.29,24.0,9.71
Galashiels,Selkirk,6.79,10.0,3.21,6.58,10.0,3.42,5.91,10.0,4.09,6.09,10.0,3.91,6.27,10.0,3.73,6.53,10.0,3.47,5.9,10.0,4.1,5.69,10.0,4.31,5.61,10.0,4.39,5.45,10.0,4.55,5.47,10.0,4.53,5.32,10.0,4.68
Galloway Hydros,Earlstoun Hydro,,,,,,,,,,,,,,,,,,,,,,0.55,15.0,14.45,1.45,15.0,13.55,1.31,15.0,13.69,1.96,15.0,13.04,2.8,15.0,12.2
Galloway Hydros,Glenlee Hydro,,,,,,,,,,,,,,,,,,,,,,1.91,30.0,28.09,2.24,30.0,27.76,1.94,30.0,28.06,5.2,30.0,24.8,3.25,30.0,26.75
Galloway Hydros,Kendoon Hydro,,,,,,,,,,,,,,,,,,,,,,2.46,30.0,27.54,2.35,30.0,27.65,1.87,30.0,28.13,4.56,30.0,25.44,4.1,30.0,25.9
Glenluce,Auchneel,4.9,24.0,19.1,3.8,24.0,20.2,4.26,8.0,3.74,4.45,24.0,19.55,4.18,8.0,3.82,4.43,8.0,3.57,4.19,24.0,19.81,5.11,24.0,18.89,4.51,24.0,19.49,7.49,24.0,16.51,4.27,8.0,3.73,4.21,8.0,3.79
Glenluce,Barrhill,1.38,5.0,3.62,1.92,5.0,3.08,1.63,5.0,3.37,1.06,5.0,3.94,1.16,5.0,3.84,1.24,5.0,3.76,1.33,7.5,6.17,1.11,7.5,6.39,1.0,7.5,6.5,0.95,7.5,6.55,1.41,10.0,8.59,1.25,10.0,8.75
Glenniston,Raith,10.02,24.0,13.98,9.42,24.0,14.58,9.48,24.0,14.52,8.67,24.0,15.33,8.4,24.0,15.6,8.26,24.0,15.74,8.49,24.0,15.51,7.86,24.0,16.14,7.68,24.0,16.32,7.94,24.0,16.06,7.85,24.0,16.15,7.36,24.0,16.64
Glenrothes,Queensway,17.63,18.0,0.37,14.99,18.0,3.01,7.2,18.0,10.8,7.83,18.0,10.17,9.29,18.0,8.71,7.16,18.0,10.84,6.77,18.0,11.23,6.99,18.0,11.01,6.29,18.0,11.71,5.98,18.0,12.02,6.41,18.0,11.59,4.79,18.0,13.21
Glenrothes,Warout Road,11.49,10.0,-1.49,12.43,10.0,-2.43,11.05,10.0,-1.05,10.8,10.0,-0.8,10.32,10.0,-0.32,10.8,10.0,-0.8,9.49,10.0,0.51,8.78,10.0,1.22,9.94,10.0,0.06,10.72,10.0,-0.72,9.23,10.0,0.77,6.96,10.0,3.04
Gorgie,Gorgie,21.33,24.0,2.67,16.59,24.0,7.41,15.43,24.0,8.57,16.99,24.0,7.01,14.94,24.0,9.06,14.52,24.0,9.48,15.74,24.0,8.26,12.7,24.0,11.3,13.15,24.0,10.85,13.5,24.0,10.5,13.56,24.0,10.44,12.07,24.0,11.93
Govan,Elizabeth Street,9.95,10.0,0.05,9.89,10.0,0.11,9.26,10.0,0.74,7.03,10.0,2.97,7.22,10.0,2.78,7.16,10.0,2.84,6.83,10.0,3.17,6.68,10.0,3.32,7.09,10.0,2.91,6.26,10.0,3.74,6.26,10.0,3.74,6.26,10.0,3.74
Govan,Linthouse,17.11,21.0,3.89,15.04,21.0,5.96,17.24,21.0,3.76,15.66,21.0,5.34,11.95,21.0,9.05,12.71,21.0,8.29,11.58,21.0,9.42,11.37,21.0,9.63,11.44,21.0,9.56,13.72,21.0,7.28,11.69,21.0,9.31,11.54,21.0,9.46
Grangemouth C,Polmont,10.65,24.0,13.35,6.79,24.0,17.21,6.08,24.0,17.92,5.96,24.0,18.04,14.2,24.0,9.8,12.99,24.0,11.01,10.68,24.0,13.32,10.45,24.0,13.55,11.95,24.0,12.05,10.73,24.0,13.27,11.13,24.0,12.87,10.33,24.0,13.67
Grangemouth C,Zetland Park,6.88,24.0,17.12,6.19,24.0,17.81,6.06,24.0,17.94,6.16,24.0,17.84,6.23,24.0,17.77,6.1,24.0,17.9,5.73,24.0,18.27,5.45,24.0,18.55,5.38,24.0,18.62,5.14,24.0,18.86,4.95,24.0,19.05,4.85,24.0,19.15
Haggs Road,Westfield Avenue,12.19,21.0,8.81,12.91,21.0,8.09,11.85,21.0,9.15,14.79,21.0,6.21,11.33,21.0,9.67,12.03,21.0,8.97,11.59,21.0,9.41,14.71,21.0,6.29,11.33,21.0,9.67,10.33,21.0,10.67,10.2,21.0,10.8,9.76,21.0,11.24
Hawick,Deans Close,8.65,10.0,1.35,7.85,10.0,2.15,8.19,10.0,1.81,7.84,10.0,2.16,8.52,10.0,1.48,8.0,10.0,2.0,7.87,10.0,2.13,7.18,10.0,2.82,5.9,10.0,4.1,6.13,10.0,3.87,6.31,10.0,3.69,5.75,10.0,4.25
Hawick,Denholm,1.84,2.5,0.66,1.71,2.5,0.79,1.99,2.5,0.51,1.92,2.5,0.58,2.11,2.5,0.39,2.03,2.5,0.47,1.84,2.5,0.66,2.03,2.5,0.47,1.87,2.5,0.63,1.9,2.5,0.6,1.9,8.0,6.1,1.9,8.0,6.1
Helensburgh,Garelochhead,2.1,10.0,7.9,8.65,10.0,1.35,1.85,10.0,8.15,1.99,10.0,8.01,2.62,10.0,7.38,2.51,10.0,7.49,2.07,10.0,7.93,1.81,10.0,8.19,2.02,10.0,7.98,1.75,10.0,8.25,1.66,10.0,8.34,1.65,10.0,8.35
Inverkeithing,Burnside,10.48,24.0,13.52,11.05,24.0,12.95,5.43,24.0,18.57,5.33,24.0,18.67,5.11,24.0,18.89,5.21,24.0,18.79,4.72,24.0,19.28,4.57,24.0,19.43,5.06,24.0,18.94,4.72,24.0,19.28,4.78,24.0,19.22,4.89,24.0,19.11
