dno;floc;gsp;minimum_observed_power_flow;maximum_observed_power_flow;asset_import_limit;asset_export_limit;technical_limit_import_summer;technical_limit_import_winter;technical_limit_import_access_period;technical_limit_export;export_capacity_utilisation;import_capacity_utilisation;technical_limits_available;geo_point_2d
LPN;LPN-S000000003203;ACTON LANE;13.53;45.62;120;120;N/A;N/A;N/A;N/A;0.0;38.013577212889984;RED;51.5330038905, -0.2575766739
EPN;EPN-S0000000G7121;BARKING WEST (EPN);15.4;53.18;400;400;N/A;N/A;N/A;N/A;0.0;13.2940700884277;RED;51.5202093829223, 0.113449665828831
LPN;LPN-S000000003609;BARKING WEST (LPN);44.35;145.47;400;400;N/A;N/A;N/A;N/A;0.0;36.36676657226445;RED;51.5202093829223, 0.113449665828831
LPN;LPN-S000000003506;BRIMSDOWN (LPN);30.28;104.39;720;720;N/A;N/A;N/A;N/A;0.0;14.49911787516843;RED;51.6637684260923, -0.0246293092057925
SPN;LPN-S000000003747;HURST (SPN);;;N/A;;N/A;N/A;N/A;N/A;;;RED;51.4325675855981, 0.154612679269435
SPN;SPN-S000000009971;LALEHAM;22.72;74.3;N/A;;N/A;N/A;N/A;N/A;;;RED;51.4239310922778, -0.470505227054313
SPN;SPN-S000000009991;LITTLEBROOK (SPN);-1.09;9.84;480;480;N/A;N/A;N/A;N/A;0.22730820004803584;2.049252129278548;RED;51.4647292708635, 0.239322085148866
LPN;LPN-S000000003360;LODGE ROAD;104.53;292.15;900;900;N/A;N/A;N/A;N/A;0.0;32.461287816365555;RED;51.528441, -0.1705298
EPN;EPN-S0000000C8079;MILL HILL;75.1;214.81;600;600;N/A;N/A;N/A;N/A;0.0;35.80205690275612;RED;51.6178349879328, -0.208806961554568
SPN;SPN-S000000009962;SELLINDGE;62.19;175.86;240;240;210;275.8;254.8;67.7;0.0;73.27449486094459;GREEN;51.1054012014103, 0.975233567955561
LPN;LPN-S000000003385;ST JOHNS WOOD;258.38;596.98;1200;1200;N/A;N/A;N/A;N/A;0.0;49.74852026099032;RED;51.527102, -0.17173678
EPN;EPN-S0000000C6047;WALPOLE;-382.73;337.91;960;960;N/A;N/A;N/A;N/A;39.86737245285345;35.19886061090872;RED;52.727297031743, 0.198380468374141
EPN;EPN-S0000000C7159;WARLEY;67.86;192.65;480;240;158.1;212.4;200.4;183.1;0.0;40.136012136227016;GREEN;51.5531110488139, 0.300603163104788
EPN;EPN-S0000000G7082;WEST THURROCK;0.04;32.86;100;100;N/A;N/A;N/A;N/A;0.0;32.86176694510192;RED;51.4709973258718, 0.288016563709523
LPN;LPN-S000000003298;WILLESDEN 132;68.66;176.9;720;720;N/A;N/A;N/A;N/A;0.0;24.568833596033905;RED;51.5339706787026, -0.258232266380087
LPN;LPN-S000000004098;WIMBLEDON 1&2;75.09;250.71;180;180;N/A;N/A;N/A;N/A;0.0;139.28345229769445;RED;51.4302789569235, -0.187620568194728
LPN;LPN-S000000004099;WIMBLEDON 3&4;121.87;507.01;720;720;N/A;N/A;N/A;N/A;0.0;70.41745033647335;RED;51.4302789569235, -0.187620568194728
EPN;EPN-S0000000C8048;AMERSHAM;1.58;56.02;240;480;38.4;56.5;50.8;200.6;0.0;23.342711096426843;GREEN;51.6646194465618, -0.655854855165807
EPN;EPN-S0000000C7139;BARKING C (EPN);23.97;52.49;600;600;N/A;N/A;N/A;N/A;0.0;8.7476384527798;RED;51.5202093829223, 0.113449665828831
LPN;LPN-S000000003617;BARKING C (LPN);-60.92;35.39;600;600;N/A;N/A;N/A;N/A;10.153456750975716;5.8989765622718195;RED;51.5202093829223, 0.113449665828831
LPN;LPN-S000000004013;BEDDINGTON (LPN);40.32;137.05;120;120;N/A;N/A;N/A;N/A;0.0;22.840862154860496;RED;51.373047913239, -0.128310013469434
SPN;SPN-S000000009903;BEDDINGTON (SPN);121.64;403.34;720;480;N/A;N/A;N/A;N/A;0.0;56.01966679409115;RED;51.373047913239, -0.128310013469434
SPN;SPN-S000000009905;BOLNEY;-18.0;636.07;1104;1100;670.3;837.9;776.8;176.8;1.6365446185990045;57.61547778666428;GREEN;50.9753813909161, -0.235344477487464
EPN;EPN-S0000000C3013;BRAINTREE;39.29;131.85;240;183;94.8;136.8;126.6;85.8;0.0;96.37848489658406;GREEN;51.8651598129365, 0.576226690245355
SPN;SPN-S000000009961;CANTERBURY NORTH;-102.5;198.38;240;240;141.5;200.9;183.9;102.5;42.71038227710134;82.65663878023847;GREEN;51.2939108841576, 1.09655565808197
EPN;EPN-S0000000C8029;ELSTREE;133.84;349.21;960;360;285.8;378.8;363.3;-34.6;0.0;36.37613870726813;GREEN;51.6596584580602, -0.34407369831083
LPN;LPN-S000000003452;HACKNEY 66;45.8;154.58;180;180;N/A;N/A;N/A;N/A;0.0;85.87963104248044;RED;51.559109, -0.041892081
LPN;LPN-S000000003457;ISLINGTON;54.63;158.09;480;480;N/A;N/A;N/A;N/A;0.0;32.93537058106635;RED;51.549955, -0.11567918
SPN;SPN-S000000009927;KEMSLEY;-94.25;94.39;480;237;162;188.7;184.3;254.4;39.76711919022173;19.664845487144163;GREEN;51.3683001193122, 0.741699848198486
EPN;EPN-S0000000C7015;RYE HOUSE;97.29;274.6;480;240;215.4;274;274.6;-60.5;0.0;57.20827651144453;GREEN;51.758271, 0.0033742189
EPN;;TILBURY SGTs 1&7;;;;;93.4;111.6;105.3;63.4;;;;51.4593857652805, 0.388946247254346
EPN;EPN-S0000000C8085;WYMONDLEY;-28.35;193.0;240;480;180;239.5;225.2;191;5.906806490968124;80.41854471102124;GREEN;51.9273242412232, -0.250573284906255
EPN;EPN-S0000000C1068;BRAMFORD;-171.99;492.64;960;1046;436.1;518.6;532.6;481.4;16.442832519392955;51.31663967331717;GREEN;52.070235, 1.0627803
EPN;EPN-S0000000C7084;BRIMSDOWN (EPN);71.22;204.9;720;720;147.1;206.6;190.5;-69.8;0.0;28.458305321370357;GREEN;51.6637684260923, -0.0246293092057925
EPN;EPN-S0000000C4026;BURWELL;-58.08;303.71;480;480;216.7;303.7;261;134.3;43.245303040591395;100.00491498476902;GREEN;52.2806079205898, 0.313156187182566
